amfi_code,fund_name,date,nav
125497,SBI Small Cap Fund - Direct Plan - Growth,07-08-2026,212.06710
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,07-08-2026,107.09710
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,07-08-2026,112.79410
118632,Nippon India Large Cap Fund - Direct Plan Growth Plan - Growth Option,07-08-2026,102.76300
119092,HDFC Money Market Fund - Growth Option - Direct Plan,07-08-2026,6263.55120
120841,quant Mid Cap Fund - Growth Option - Direct Plan,07-08-2026,255.99320
